Gene	Exon_coord	Upstream_exon_coord	Downstream_exon_coord	hHistology
HDAC4	239144583-239144714	239139683-239139796	239156651-239156773	Medulloblastoma
TRIM2	153270338-153270519	153152337-153152612	153275892-153276130	Medulloblastoma
MAPKAP1	125657651-125657799	125585554-125585727	125706970-125707177	Medulloblastoma
GRK4	3035386-3035523	3029200-3029409	3040571-3040727	Medulloblastoma
ENSG00000278254	9124399-9124493	9097270-9097939	9189559-9189857	Medulloblastoma
NT5C	75131045-75131105	75130752-75130867	75131180-75131258	Medulloblastoma
INMT-MINDY4	30882181-30882361	30875494-30875656	30882920-30882993	Medulloblastoma
ZNF232	5111076-5111219	5109393-5109768	5111799-5111815	Medulloblastoma
PROSER1	39012691-39014476	39012082-39012233	39017499-39017544	Medulloblastoma
NUDT22	64229247-64229344	64226634-64227132	64229477-64229539	Medulloblastoma
ZNF740	53184891-53185040	53181676-53181992	53185386-53185476	Medulloblastoma
PPP1R13L	45404999-45405081	45398263-45398339	45406291-45406327	Medulloblastoma
SV2C	76194919-76195099	76131649-76132330	76209735-76209887	Medulloblastoma
ZNF138	64815576-64815653	64814917-64815044	64831450-64833680	Medulloblastoma
CD151	836769-836843	836250-836442	837249-837354	Medulloblastoma
WASHC2C	45786612-45786674	45785508-45785631	45787034-45787247	Medulloblastoma
PRIMPOL	184661774-184661903	184659339-184659437	184672172-184672460	Medulloblastoma
STAU2	73709032-73709162	73688650-73688813	73738283-73738344	Medulloblastoma
RAB23	57194770-57194852	57193841-57193934	57196449-57196606	Medulloblastoma
ITPR1	4777264-4777374	4775241-4775442	4779549-4779645	Medulloblastoma
FIP1L1	53452920-53453133	53444047-53444103	53458652-53458790	Medulloblastoma
FIP1L1	53452920-53453142	53444047-53444103	53458652-53458790	Medulloblastoma
FXYD6	117844110-117844206	117842718-117842781	117858210-117858286	Medulloblastoma
DLG3	70495408-70495453	70493375-70493475	70498519-70498570	Medulloblastoma
KCTD20	36474789-36475062	36470051-36470257	36481561-36481759	Medulloblastoma
ATXN1	16753233-16753347	16735453-16739918	16761297-16761370	Medulloblastoma
KHDRBS2	61978066-61978212	61901243-61901371	62047877-62047994	Medulloblastoma
ICA1L	202788830-202789087	202785917-202786007	202796889-202796964	Medulloblastoma
FANCD2	10093285-10093323	10092180-10092252	10094288-10094363	Medulloblastoma
ZSCAN32	3390010-3390133	3383700-3384941	3393648-3393814	Medulloblastoma
ALDH2	111783158-111783298	111781917-111782022	111785266-111785346	Medulloblastoma
CNOT9	218592616-218592707	218592303-218592402	218594107-218594526	Medulloblastoma
EPS15	51468473-51468568	51465260-51465326	51471689-51471737	Medulloblastoma
ENSG00000233184	101080389-101080613	101077362-101077508	101083460-101083483	Medulloblastoma
KLHL24	183664921-183665039	183663457-183663642	183671033-183671123	Medulloblastoma
APP	25975070-25975228	25955626-25955755	25982343-25982477	Medulloblastoma
ASAP2	9344731-9344800	9344531-9344635	9350807-9350895	Medulloblastoma
CDC25C	138329553-138329647	138328483-138328529	138330986-138331180	Medulloblastoma
ENKD1	67663937-67664062	67663656-67663820	67664995-67665168	Medulloblastoma
CLASP2	33592213-33592239	33588704-33588731	33592394-33592496	Medulloblastoma
CDC42BPA	227254064-227254155	227219262-227219420	227317004-227317047	Medulloblastoma
GNB2	100676535-100676573	100676137-100676322	100676692-100676799	Medulloblastoma
LUC7L3	50744652-50744813	50743705-50743810	50745719-50746003	Medulloblastoma
GGNBP2	36545619-36545817	36544918-36545097	36554819-36554900	Medulloblastoma
SNX25	185351445-185351609	185346536-185346650	185353484-185353602	Medulloblastoma
ENSG00000273025	72315845-72315927	72304745-72304794	72319612-72319946	Medulloblastoma
CKLF	66563122-66563217	66552568-66552793	66565885-66566068	Medulloblastoma
B4GALT6	31657976-31658089	31645354-31645479	31666255-31666372	Medulloblastoma
UTY	13358464-13358619	13357876-13357969	13359087-13359222	Medulloblastoma
WWP1	86398572-86398638	86381504-86381629	86402018-86402203	Medulloblastoma
PLCH2	2497502-2497609	2496827-2497010	2498522-2498647	Medulloblastoma
CPXM1	2797968-2798058	2797191-2797342	2798151-2798291	Medulloblastoma
ZKSCAN7	44567912-44568003	44565486-44565655	44568306-44568433	Medulloblastoma
MAGIX	49164908-49165090	49163931-49164789	49165189-49165361	Medulloblastoma
CAPRIN2	30733629-30733711	30731342-30731510	30734967-30735014	Medulloblastoma
TMPO	98544230-98544349	98537474-98537572	98544950-98545061	Medulloblastoma
LINC00630	102816992-102817082	102769186-102769341	102826968-102827136	Medulloblastoma
REEP1	86282170-86282242	86263964-86264041	86337478-86337510	Medulloblastoma
ATE1	121898841-121898969	121870005-121870038	121902390-121902620	Medulloblastoma
ATE1	121899866-121899994	121870005-121870038	121902390-121902504	Medulloblastoma
STX3	59795372-59795482	59793379-59793514	59800854-59801485	Medulloblastoma
DMAC2L	50314591-50314626	50312323-50312389	50321482-50321594	Medulloblastoma
DLGAP4	36499588-36499676	36496704-36497066	36500198-36500203	Medulloblastoma
NBR1	43202655-43202712	43201685-43201780	43203680-43203786	Medulloblastoma
CABIN1	24066987-24067181	24064034-24064187	24070799-24071042	Medulloblastoma
PTTG1IP	44855210-44855256	44849597-44851627	44856192-44856364	Medulloblastoma
NAV1	201812465-201812661	201811902-201811974	201813139-201813258	Medulloblastoma
ZEB1	31387124-31387266	31321689-31321851	31461036-31461237	Medulloblastoma
DOCK10	224814320-224814364	224807910-224808086	224816616-224816652	Medulloblastoma
CTDSP2	57826346-57826402	57824226-57824319	57826995-57827097	Medulloblastoma
GLI1	57463999-57464091	57459784-57460201	57464672-57464867	Medulloblastoma
ENSG00000246596	177620473-177620506	177619058-177619389	177626435-177626505	Medulloblastoma
SAP30BP	75703808-75703859	75702479-75702571	75704755-75704768	Medulloblastoma
ASPDH	50512136-50512290	50511599-50511773	50514477-50514690	Medulloblastoma
ARFGAP2	47173426-47173482	47172025-47172333	47173758-47173840	Medulloblastoma
FXR1	180953762-180953840	180951297-180951468	180957818-180957928	Medulloblastoma
DTNB	25383836-25383889	25379289-25379323	25388201-25388361	Medulloblastoma
KLK4	50908359-50908491	50906874-50907086	50908578-50908829	Medulloblastoma
DHRS4-AS1	23953774-23954033	23938739-23941158	23954747-23955092	Medulloblastoma
ZCCHC14	87414414-87414541	87413054-87413195	87415275-87415367	Medulloblastoma
BIN1	127052255-127052362	127051153-127051243	127053421-127053445	Medulloblastoma
ABHD14A	51977871-51978082	51975063-51975204	51980835-51981195	Medulloblastoma
MCRIP2	647783-647884	647416-647544	648119-648437	Medulloblastoma
GABBR1	29632301-29632385	29631395-29631599	29632849-29632934	Medulloblastoma
FAAH	46409101-46409198	46408458-46408584	46410397-46410497	Medulloblastoma
RAB40B	82658491-82658562	82657910-82658134	82659579-82659657	Medulloblastoma
RIMS1	72284047-72284118	72260698-72260767	72291933-72292046	Medulloblastoma
MAPK11	50267569-50267627	50267370-50267482	50267819-50267949	Medulloblastoma
TIMMDC1	119503954-119504021	119500373-119500860	119513640-119513719	Medulloblastoma
GPR176	39807006-39807197	39799031-39802254	39919854-39920225	Medulloblastoma
CCSAP	229326738-229327006	229321010-229325411	229342098-229342513	Medulloblastoma
SLC29A3	71344209-71344291	71322755-71323054	71356080-71356243	Medulloblastoma
SLC29A3	71351562-71351788	71322755-71323054	71356080-71356243	Medulloblastoma
CLIP1	122351111-122351143	122347374-122347479	122352725-122352786	Medulloblastoma
SLC16A4	110382834-110382966	110380981-110381143	110389236-110389355	Medulloblastoma
IFI27L1	94100739-94100771	94096840-94096965	94101813-94101975	Medulloblastoma
DESI1	41607262-41607331	41604043-41604153	41620751-41621043	Medulloblastoma
EPB41L2	130858131-130858243	130839346-130840598	130863637-130863718	Medulloblastoma
EPB41L2	130858136-130858243	130839351-130840598	130863637-130863718	Medulloblastoma
KLHL3	137637294-137637395	137634036-137634165	137638952-137639150	Medulloblastoma
DNAJC14	55829489-55829636	55827251-55828714	55830175-55830558	Medulloblastoma
ZNF266	9433668-9433783	9420064-9420218	9434074-9434235	Medulloblastoma
PABPC1	100712652-100712789	100712361-100712457	100713086-100713181	Medulloblastoma
ENSG00000243620	146919068-146919185	146909684-146909711	146926454-146926650	Medulloblastoma
BUD23	73683767-73683804	73683570-73683673	73686635-73686731	Medulloblastoma
MYT1L	1922286-1923263	1917204-1917339	1942981-1943334	Medulloblastoma
TARBP1	234398382-234398553	234393645-234393837	234400852-234400948	Medulloblastoma
SLCO2A1	133954966-133955193	133953662-133953761	133973662-133973825	Medulloblastoma
CCDC7	32571859-32571893	32567669-32567891	32584231-32584304	Medulloblastoma
SLC16A14	230045745-230046722	230034981-230037531	230059093-230059366	Medulloblastoma
PLEKHA1	122392303-122392372	122374707-122374806	122393180-122393341	Medulloblastoma
PPHLN1	42384940-42384996	42374862-42375074	42387455-42387535	Medulloblastoma
BCAP29	107580646-107580864	107580271-107580301	107583881-107583982	Medulloblastoma
TYK2	10353528-10353646	10352925-10353098	10354041-10354103	Medulloblastoma
GIGYF2	232703424-232703489	232697298-232697392	232724573-232724691	Medulloblastoma
GIGYF2	232734417-232734486	232697307-232697392	232735154-232735238	Medulloblastoma
SMYD3	245764041-245764149	245749341-245749664	245858495-245858670	Medulloblastoma
SCN3A	165163618-165163709	165162555-165162828	165163801-165163893	Medulloblastoma
TUBA1C	49256397-49256511	49227926-49228166	49269464-49269687	Medulloblastoma
SEPTIN9	77307141-77307197	77281498-77281554	77402058-77402200	Medulloblastoma
ALG11	52018913-52019147	52012397-52012462	52024005-52024937	Medulloblastoma
LINC00174	66476259-66476327	66450070-66450236	66479008-66479096	Medulloblastoma
GSTA4	52985451-52985583	52984463-52984605	52994156-52994261	Medulloblastoma
ANXA6	151119300-151119390	151117757-151117837	151122146-151122260	Medulloblastoma
ACSL3	222927017-222927189	222924455-222924595	222930620-222930812	Medulloblastoma
ACSL3	222927017-222928936	222924455-222924595	222930620-222930812	Medulloblastoma
TRIM2	153270335-153270519	153152427-153152612	153275892-153276130	Medulloblastoma
POMT2	77301090-77301249	77299454-77299561	77302834-77302943	Medulloblastoma
SEC31A	82870325-82870424	82867154-82867316	82871943-82872086	Medulloblastoma
HSDL2	112416841-112416944	112408906-112409021	112418859-112418958	Medulloblastoma
SCARB1	124810174-124810265	124807760-124807927	124811869-124811965	Medulloblastoma
CACNA1C	2504436-2504539	2493189-2493386	2512811-2512984	Medulloblastoma
PTK2	140735251-140735455	140717597-140717709	140739017-140739107	Medulloblastoma
NUTM2B-AS1	79808759-79808832	79804484-79804527	79814612-79814716	Medulloblastoma
ACVRL1	51913559-51913770	51913098-51913350	51914438-51914585	Medulloblastoma
SDHA	235144-235339	233476-233645	236427-236599	Medulloblastoma
PREPL	44344520-44344586	44343744-44343951	44346267-44346390	Medulloblastoma
NDUFAF6	95052174-95052230	95048456-95048558	95075632-95076168	Medulloblastoma
ATP8A1	42594289-42594362	42588259-42588329	42600477-42600518	Medulloblastoma
PUS7L	43742457-43742555	43738309-43738391	43746045-43746238	Medulloblastoma
ATAD3B	1487863-1487914	1486543-1486668	1489203-1489274	Medulloblastoma
RNF213	80306252-80306468	80298320-80298518	80307127-80307201	Medulloblastoma
CNTNAP5	124221705-124221809	124025286-124025732	124242199-124242393	Medulloblastoma
ASTN2	117291326-117291513	117214357-117214742	117414496-117415039	Medulloblastoma
ANKRD12	9204476-9204544	9182381-9182519	9208656-9208803	Medulloblastoma
SHMT1	18348325-18348440	18347495-18347656	18353671-18353817	Medulloblastoma
KHDRBS1	32036910-32037043	32033187-32033334	32042526-32042624	Medulloblastoma
HSD11B1L	5684989-5685119	5684780-5684905	5686415-5686527	Medulloblastoma
ELMO2	46387338-46387437	46386123-46386275	46389038-46389220	Medulloblastoma
ACCS	44073344-44073517	44071255-44071315	44074611-44074681	Medulloblastoma
FBXW8	117010323-117010450	116988662-116988869	117024146-117024320	Medulloblastoma
ZNF483	111530875-111530963	111527267-111527807	111533738-111533865	Medulloblastoma
ZNF562	9659379-9659467	9641806-9653881	9660719-9660821	Medulloblastoma
SPPL3	120810809-120810886	120791468-120791557	120903844-120904358	Medulloblastoma
MRLN	59738998-59739119	59738458-59738562	59753353-59753396	Medulloblastoma
ASPHD1	29904852-29904965	29900487-29901920	29919530-29919632	Medulloblastoma
CACNA1C	2597230-2597289	2595873-2596003	2601853-2601960	Medulloblastoma
MPRIP	17078011-17078076	17042456-17042971	17126701-17126853	Medulloblastoma
ABR	1056035-1056109	1050536-1050634	1056997-1057102	Medulloblastoma
AUTS2	70768024-70768068	70766113-70766355	70771548-70771644	Medulloblastoma
VPS16	2860054-2860151	2859718-2859807	2860448-2860593	Medulloblastoma
TYMS	659641-659714	657652-657947	662145-662320	Medulloblastoma
OTX2-AS1	56898268-56898345	56813182-56813469	56919640-56919792	Medulloblastoma
SEPTIN6	119637027-119637195	119633359-119633492	119640691-119640788	Medulloblastoma
SLC6A3	1416098-1416201	1414690-1414815	1432463-1432698	Medulloblastoma
PRKACB	84173329-84173352	84078143-84078371	84175032-84175056	Medulloblastoma
IMPG2	101269515-101269573	101257528-101257773	101273580-101273742	Medulloblastoma
MPRIP	17075710-17075787	17042456-17042971	17126701-17126853	Medulloblastoma
ANO2	5799507-5799571	5750835-5750970	5806051-5806093	Medulloblastoma
RERE	8541214-8541318	8508626-8508675	8624309-8624380	Medulloblastoma
OSBPL1A	24178013-24178195	24172375-24172483	24179737-24179835	Medulloblastoma
ANKMY1	240507560-240507691	240500451-240500565	240512801-240512942	Medulloblastoma
TPT1-AS1	45344305-45344446	45341512-45341614	45369958-45370182	Medulloblastoma
RSPH3	158983662-158983807	158982484-158982688	158986279-158986421	Medulloblastoma
HMGN1	39347247-39347292	39345829-39345958	39347378-39347483	Medulloblastoma
GAL3ST3	66045291-66045527	66040764-66043677	66049010-66049161	Medulloblastoma
GPD1L	32128076-32128253	32106619-32106758	32138586-32138727	Medulloblastoma
BANP	88006090-88006265	87984059-87984259	88018427-88018455	Medulloblastoma
FBN3	8141940-8142137	8141716-8141842	8144876-8144972	Medulloblastoma
GPR161	168114456-168114549	168104476-168104894	168136256-168136386	Medulloblastoma
CAP2	17462996-17463073	17426589-17426690	17507168-17507312	Medulloblastoma
UGGT2	95999211-95999307	95996062-95996135	96013306-96013411	Medulloblastoma
HPS5	18292899-18292976	18287892-18288013	18295019-18295169	Medulloblastoma
DGLUCY	91170003-91170186	91167224-91167378	91173288-91173403	Medulloblastoma
HERPUD1	56939895-56940245	56936723-56936817	56942131-56942202	Medulloblastoma
TULP3	2934447-2934561	2933417-2933530	2937630-2937729	Medulloblastoma
OTX2-AS1	56898268-56898345	56813182-56813469	56927568-56927718	Medulloblastoma
CHRM3	239827252-239827378	239718795-239718899	239907432-239907780	Medulloblastoma
ZNF528	52402429-52402545	52401946-52402028	52405906-52405931	Medulloblastoma
ADGRL2	81987289-81987341	81985258-81985355	81990390-81991794	Medulloblastoma
CHN1	174940816-174940894	174918533-174918565	174944887-174944943	Medulloblastoma
RABL2A	113635051-113635130	113634152-113634232	113641352-113641450	Medulloblastoma
ZNF131	43079900-43079954	43068115-43068217	43099019-43099338	Medulloblastoma
LAMTOR2	156057978-156058067	156055495-156055675	156058314-156058506	Medulloblastoma
RGS3	113565515-113565730	113565056-113565360	113583449-113584427	Medulloblastoma
ENSG00000278202	82432576-82432631	82431829-82431949	82432816-82432897	Medulloblastoma
CYB5RL	54190738-54190896	54184160-54184265	54195418-54195436	Medulloblastoma
SEMA6A	116472885-116472935	116445749-116447811	116473072-116473093	Medulloblastoma
CNPY2	56310310-56310595	56309841-56310029	56310957-56311054	Medulloblastoma
TBC1D5	17562019-17562142	17508473-17508605	17622647-17622765	Medulloblastoma
PBRM1	52682092-52682233	52681703-52681820	52685748-52685850	Medulloblastoma
CREM	35148368-35148491	35126840-35127193	35188199-35188260	Medulloblastoma
VILL	38003168-38003313	38002395-38002575	38004254-38004399	Medulloblastoma
CRPPA	16301421-16301466	16278128-16278226	16308522-16308627	Medulloblastoma
ZNF266	9433668-9433786	9420064-9420218	9434074-9434235	Medulloblastoma
TCFL5	62854016-62854157	62841004-62842097	62860124-62860308	Medulloblastoma
AVL9	32580219-32580272	32575954-32576072	32580801-32580890	Medulloblastoma
COL3A1	188997165-188997218	188996397-188996496	188997335-188997389	Medulloblastoma
CLIC4	24814094-24814219	24797741-24797851	24827009-24827116	Medulloblastoma
ELOVL2	11010746-11010809	11005371-11005559	11044227-11044305	Medulloblastoma
MAPK8IP3	1729138-1729208	1724556-1724677	1729486-1729578	Medulloblastoma
DDX3X	41337691-41339083	41337407-41337465	41341483-41341616	Medulloblastoma
DDX3X	41339039-41339083	41337407-41337465	41341483-41341616	Medulloblastoma
NXPE3	101807053-101807126	101801234-101801989	101816794-101817001	Medulloblastoma
NAALAD2	90177853-90178117	90175971-90176062	90181619-90181701	Medulloblastoma
OGT	71544567-71544635	71537828-71538072	71547906-71548023	Medulloblastoma
EXOSC8	37002249-37002309	37000790-37000822	37002487-37002551	Medulloblastoma
LEMD1	205384288-205384364	205381377-205381856	205420454-205420574	Medulloblastoma
FIRRE	131785157-131785258	131783886-131784039	131793993-131794115	Medulloblastoma
RPS6KL1	74911794-74911841	74910889-74911380	74919844-74919969	Medulloblastoma
WDFY3	84826815-84826981	84821083-84821551	84829003-84829190	Medulloblastoma
PITPNM2	123013828-123014042	123012612-123012734	123034512-123034685	Medulloblastoma
MCFD2	46907810-46907969	46901869-46905594	46915722-46915816	Medulloblastoma
PPP2R5C	101917831-101917947	101909588-101909690	101925140-101925307	Medulloblastoma
TMEM116	112003800-112003863	111991743-111991889	112005256-112005303	Medulloblastoma
MPHOSPH9	123214744-123214834	123210055-123210162	123218375-123218478	Medulloblastoma
USP9Y	12775471-12775566	12773582-12773925	12776648-12776860	Medulloblastoma
TSPOAP1	58326683-58326790	58326292-58326421	58327587-58328760	Medulloblastoma
DENND6A	57630421-57630523	57628810-57628885	57630714-57630824	Medulloblastoma
NME7	169324393-169324500	169309969-169310080	169367707-169367730	Medulloblastoma
MDH1B	206750934-206751075	206749019-206749183	206755008-206755505	Medulloblastoma
SPHKAP	227993534-227993620	227991273-227991326	227995508-227995635	Medulloblastoma
QRICH2	76289992-76290077	76287799-76287897	76291014-76291252	Medulloblastoma
CCM2	45069826-45069961	45038252-45038426	45072725-45072783	Medulloblastoma
SLC25A32	103404776-103404861	103403163-103403324	103407633-103407784	Medulloblastoma
CHUK	100225923-100226017	100222865-100222980	100229427-100229596	Medulloblastoma
MYO15B	75592428-75592541	75592237-75592301	75592678-75592840	Medulloblastoma
TXNL4A	79977598-79977701	79970812-79973856	79986601-79986750	Medulloblastoma
IFI27L1	94101814-94101975	94096840-94096965	94102476-94102536	Medulloblastoma
ENSG00000288663	53295839-53295941	53295524-53295639	53296218-53296275	Medulloblastoma
NDUFA1	119873304-119873393	119871831-119872013	119876513-119876662	Medulloblastoma
EXT2	44124789-44124984	44114184-44114301	44130044-44130138	Medulloblastoma
GRIA2	157361538-157361652	157359895-157360143	157362798-157362821	Medulloblastoma
TRAPPC8	31913369-31913522	31909666-31909760	31916271-31916446	Medulloblastoma
FAM171A1	15248639-15248815	15220943-15221060	15254720-15254879	Medulloblastoma
HROB	44152637-44152777	44150960-44151044	44154555-44154664	Medulloblastoma
RNFT1	59962540-59962616	59958290-59958444	59962826-59962966	Medulloblastoma
ABCC9	21862953-21863054	21860970-21861055	21872624-21872730	Medulloblastoma
RRM2B	102232149-102232304	102225917-102226034	102238826-102238961	Medulloblastoma
PRDM8	80194113-80194239	80191471-80191569	80196351-80196598	Medulloblastoma
COL16A1	31670602-31670646	31668801-31668855	31671614-31671659	Medulloblastoma
TC2N	91792367-91792558	91787512-91787627	91797784-91797901	Medulloblastoma
SLC35B3	8417402-8417494	8416883-8416995	8419579-8419677	Medulloblastoma
ADGRV1	90619086-90619181	90617189-90617953	90622596-90622701	Medulloblastoma
KLHL4	87666475-87666880	87664763-87664935	87669328-87670043	Medulloblastoma
AK9	109564080-109564280	109563596-109563712	109564755-109564845	Medulloblastoma
HPCA	32888878-32889276	32886081-32886119	32893523-32893629	Medulloblastoma
DPY19L1	34957984-34958070	34955307-34955367	34966893-34966971	Medulloblastoma
AMHR2	53424709-53424900	53424287-53424470	53425164-53425242	Medulloblastoma
CIAO2A	64075492-64075537	64072564-64073028	64081101-64081151	Medulloblastoma
CEP192	13038515-13038579	13037236-13037301	13040829-13040956	Medulloblastoma
LINC02696	45355879-45355925	45355459-45355602	45356395-45357211	Medulloblastoma
PHYHD1	128940599-128940715	128937756-128937778	128941444-128941571	Medulloblastoma
NRP1	33202891-33202995	33197620-33197709	33207571-33207625	Medulloblastoma
NRP1	33202912-33202995	33197649-33197709	33207571-33207716	Medulloblastoma
HMGN5	81118730-81118759	81118431-81118485	81121534-81121638	Medulloblastoma
SLC20A2	42465777-42465917	42463004-42463090	42472101-42472654	Medulloblastoma
EFHC1	52438455-52438591	52438303-52438375	52452687-52452770	Medulloblastoma
SLC22A8	63014626-63014983	63000719-63000823	63015728-63015841	Medulloblastoma
ARRB2	4720393-4720472	4720215-4720299	4720585-4720640	Medulloblastoma
SMAD5	136147832-136147906	136132913-136133959	136153591-136153763	Medulloblastoma
CANX	179707132-179707190	179706257-179706331	179708238-179708380	Medulloblastoma
HEXD	82424394-82424503	82419748-82419883	82428557-82428645	Medulloblastoma
EPB41	29112368-29112448	29109335-29109437	29115698-29115702	Medulloblastoma
PREPL	44332459-44332656	44328936-44329112	44338350-44338536	Medulloblastoma
ABCC5	183949753-183949881	183947323-183947510	183949971-183950125	Medulloblastoma
DNAH14	224960153-224960302	224954958-224955098	224964478-224964609	Medulloblastoma
SYTL4	100703093-100703185	100701927-100702107	100731417-100731505	Medulloblastoma
SYTL4	100704811-100704886	100701927-100702107	100731417-100731505	Medulloblastoma
DPP7	137113361-137113496	137113205-137113287	137113864-137114028	Medulloblastoma
RBFOX2	35768257-35768349	35765422-35765483	35778024-35778032	Medulloblastoma
MPV17	27312214-27312246	27311898-27311951	27312493-27312589	Medulloblastoma
HSF1	144311963-144312244	144311699-144311836	144313510-144313616	Medulloblastoma
STAT5B	42216014-42216106	42211983-42212190	42217159-42217282	Medulloblastoma
DESI1	41607840-41607861	41607261-41607331	41620751-41621043	Medulloblastoma
IPO4	24187667-24187796	24187399-24187579	24188215-24188257	Medulloblastoma
IPO4	24187667-24187813	24187399-24187579	24188215-24188257	Medulloblastoma
CCDC57	82134073-82134194	82128492-82128597	82151559-82151773	Medulloblastoma
CTIF	48664447-48664551	48663751-48663825	48670668-48670744	Medulloblastoma
PCBP4	51960866-51960898	51960521-51960642	51961009-51961033	Medulloblastoma
MGST3	165651014-165651087	165649754-165649964	165651977-165652035	Medulloblastoma
KIAA0100	28633549-28633751	28633282-28633401	28633894-28634086	Medulloblastoma
PLD3	40366773-40366915	40366609-40366684	40369907-40370011	Medulloblastoma
FLAD1	154990339-154990528	154990158-154990257	154992564-154992673	Medulloblastoma
ZNF692	248856288-248856422	248855557-248855946	248856513-248856562	Medulloblastoma
RSPRY1	57216107-57216173	57213887-57213946	57216903-57217035	Medulloblastoma
MTFR1L	25822996-25823128	25819928-25820029	25823643-25823748	Medulloblastoma
MTFR1L	25823019-25823128	25819925-25820029	25823643-25823748	Medulloblastoma
UNK	75813078-75813213	75812454-75812585	75813760-75813878	Medulloblastoma
DDX31	132651075-132651116	132650233-132650298	132652447-132652492	Medulloblastoma
PTPN18	130370705-130370782	130370309-130370623	130370874-130370964	Medulloblastoma
IMPG2	101229380-101229590	101222545-101226981	101232780-101232991	Medulloblastoma
UBXN11	26297427-26297481	26294204-26294331	26297961-26298026	Medulloblastoma
PGAP2	3823883-3824135	3811249-3811424	3824269-3824343	Medulloblastoma
ALG13	111721603-111721711	111720094-111720170	111723797-111723881	Medulloblastoma
TULP1	35511648-35511806	35509826-35509928	35512179-35512270	Medulloblastoma
PRPF38A	52414621-52414647	52413878-52413991	52414761-52414859	Medulloblastoma
CDKL3	134321791-134321903	134308573-134308727	134370997-134371004	Medulloblastoma
RUSF1	31499493-31499525	31496848-31496950	31500685-31500731	Medulloblastoma
ME2	50916168-50916243	50912800-50912950	50918109-50918213	Medulloblastoma
EVI5	92736398-92736627	92704554-92704744	92784835-92785108	Medulloblastoma
FRMD4B	69287752-69287836	69250042-69250099	69302342-69302435	Medulloblastoma
KDM5C	53218276-53218398	53217795-53217966	53220838-53220916	Medulloblastoma
HHAT	210362852-210362919	210348932-210349066	210387467-210387581	Medulloblastoma
FBXL5	15644493-15644708	15640787-15640883	15655203-15655341	Medulloblastoma
ZFX	24173607-24173723	24172714-24172800	24179182-24179770	Medulloblastoma
MANBAL	37298763-37298879	37289662-37289686	37301207-37301413	Medulloblastoma
DDX39B	31539147-31539274	31538762-31538855	31540321-31540534	Medulloblastoma
CHTOP	153643227-153643364	153638083-153638448	153645063-153645470	Medulloblastoma
TPRKB	73732584-73732700	73731905-73732285	73734428-73734588	Medulloblastoma
USP3	63529014-63529166	63504611-63504830	63532646-63532707	Medulloblastoma
ENSG00000275778	11034782-11034885	10973654-10973721	11047019-11047188	Medulloblastoma
LTBP3	65552860-65552982	65552247-65552406	65553163-65553256	Medulloblastoma
IDH2	90090479-90090644	90088586-90088747	90091552-90091644	Medulloblastoma
EDC3	74687091-74687179	74674960-74675142	74695879-74695936	Medulloblastoma
NFE2L1	48057032-48057121	48056385-48056598	48057343-48057502	Medulloblastoma
RNF44	176530848-176531021	176530581-176530743	176531462-176531630	Medulloblastoma
LRSAM1	127495320-127495414	127492801-127492897	127495963-127496095	Medulloblastoma
LRSAM1	127495320-127495418	127492801-127492897	127495963-127496075	Medulloblastoma
TPP1	6618776-6618915	6616974-6617776	6619195-6619259	Medulloblastoma
ALDH4A1	18881700-18881887	18879299-18879373	18883123-18883198	Medulloblastoma
ARHGEF40	21073045-21073242	21070272-21070399	21073931-21074991	Medulloblastoma
TM9SF1	24194675-24195036	24192647-24193269	24195345-24195441	Medulloblastoma
ERMP1	5805027-5805217	5801175-5801328	5805610-5805785	Medulloblastoma
DNAI4	66835626-66835777	66833990-66834148	66837709-66837796	Medulloblastoma
MEGF6	3498698-3498826	3498370-3498499	3499587-3499716	Medulloblastoma
ZNF852	44502965-44503056	44502541-44502668	44510552-44510636	Medulloblastoma
AHI1	135495814-135495898	135492227-135492291	135497187-135497249	Medulloblastoma
PGRMC1	119240309-119240464	119236284-119236691	119243150-119244466	Medulloblastoma
ERCC1	45419098-45419197	45416490-45416897	45421177-45421393	Medulloblastoma
ZGRF1	112548253-112548380	112547284-112547408	112553834-112553982	Medulloblastoma
DRG1	31403029-31403204	31400619-31400743	31411011-31411060	Medulloblastoma
AKR7A2	19307314-19307410	19307001-19307101	19308454-19308642	Medulloblastoma
UQCRC1	48600482-48600567	48600062-48600151	48600679-48600840	Medulloblastoma
ADAMTS10	8608134-8608248	8604935-8605358	8610643-8610700	Medulloblastoma
PRRC2A	31626772-31626862	31625753-31626162	31626981-31627074	Medulloblastoma
TAPT1	16202462-16202580	16191360-16191523	16213767-16213898	Medulloblastoma
CSE1L	49085283-49085386	49084025-49084162	49089246-49089397	Medulloblastoma
GSTZ1	77329755-77329807	77329122-77329201	77330309-77330359	Medulloblastoma
MYO15B	75594475-75594588	75592678-75592840	75594839-75594972	Medulloblastoma
PHKB	47665942-47666032	47663676-47663734	47669214-47669417	Medulloblastoma
TAF1A	222579759-222579872	222577444-222577643	222588442-222588565	Medulloblastoma
SLC4A5	74232469-74232647	74231235-74231308	74233401-74233563	Medulloblastoma
CDAN1	42734226-42734346	42733937-42734047	42735099-42735178	Medulloblastoma
GNL1	30553084-30553179	30552466-30552661	30553349-30553557	Medulloblastoma
LIG4	108214538-108214610	108207441-108211296	108215483-108215536	Medulloblastoma
