Gene	Exon_coord	Upstream_exon_coord	Downstream_exon_coord	Histology
SYTL4	100731418-100731505	100704810-100704886	100732003-100732121	Low-grade glioma
SRP14-DT	40056453-40056641	40045960-40046069	40065220-40065705	Low-grade glioma
MPPE1	11905738-11905953	11897525-11897620	11906202-11906309	Low-grade glioma
HDLBP	241269201-241269295	241268476-241268541	241315569-241315672	Low-grade glioma
ENSG00000254746	45532649-45532880	45531215-45531617	45532991-45533125	Low-grade glioma
ZNF814	57868458-57868579	57850319-57850561	57876915-57877042	Low-grade glioma
ENSG00000260370	14497-14659	14060-14299	16501-16549	Low-grade glioma
SCN9A	166243490-166243529	166242574-166242656	166251764-166251885	Low-grade glioma
ZNF211	57634023-57634061	57633167-57633436	57634628-57634755	Low-grade glioma
ENSG00000286619	205858143-205858289	205813336-205813585	205891155-205891309	Low-grade glioma
STK40	36362559-36362656	36361220-36361340	36367851-36368084	Low-grade glioma
PSMD1	231166381-231166491	231165870-231166017	231170565-231170721	Low-grade glioma
SEC14L6	30525350-30525519	30522798-30525109	30525610-30525750	Low-grade glioma
ZNF875	37358541-37358661	37347776-37347872	37362108-37362274	Low-grade glioma
EMID1	29255271-29255361	29243444-29243489	29258816-29259597	Low-grade glioma
DOCK8	280791-280905	273049-273100	286460-286636	Low-grade glioma
ACP1	269301-269347	264899-265007	271865-271939	Low-grade glioma
YY1AP1	155674685-155674818	155670396-155670464	155675009-155675096	Low-grade glioma
ATP6V0D1	67457564-67457651	67453543-67453715	67480956-67481181	Low-grade glioma
RTN3	63746947-63747024	63718980-63721032	63749990-63750198	Medulloblastoma
CEP295	93702776-93702919	93702459-93702637	93706744-93706897	Medulloblastoma
WDR20	102208603-102209862	102139892-102140172	102222829-102223667	Medulloblastoma
ENSG00000267575	27797754-27798176	27793894-27794122	27805604-27805811	Medulloblastoma
EXO5	40509451-40509625	40508766-40508908	40509732-40509790	Medulloblastoma
ZNF519	14124350-14124476	14084876-14085076	14132274-14132428	Medulloblastoma
SIN3A	75436346-75436443	75430186-75430408	75455634-75455783	Medulloblastoma
ING4	6655638-6655913	6652935-6653050	6656726-6656798	Medulloblastoma
SULT1A1	28609931-28610191	28606950-28607077	28620062-28620133	Medulloblastoma
NAB1	190655977-190656153	190649845-190649982	190659276-190659585	Medulloblastoma
WASF1	110178598-110178742	110160634-110160732	110179438-110179649	Medulloblastoma
DEPDC1	68482046-68482897	68481439-68481612	68483949-68484090	Medulloblastoma
CERKL	181617255-181617421	181603862-181604079	181656768-181657107	Medulloblastoma
PRKD3	37316237-37317179	37293132-37293271	37324680-37324833	Medulloblastoma
INTS11	1321908-1321980	1320995-1321093	1324580-1324660	Medulloblastoma
PTPRD	8485762-8486349	8485226-8485324	8504260-8504405	Medulloblastoma
ITPR1	4727126-4727173	4711585-4711868	4733087-4733220	Medulloblastoma
CCDC7	32471064-32471230	32462682-32462703	32472480-32472542	Medulloblastoma
SGCE	94587778-94587849	94585269-94585515	94588688-94588732	Medulloblastoma
EXOC1	55888888-55888932	55882726-55883928	55890222-55890386	Medulloblastoma
RTN3	63718702-63721032	63704850-63704907	63749990-63750198	Medulloblastoma
INO80C	35487386-35487439	35480452-35480563	35497718-35497943	Medulloblastoma
CADPS	62544848-62544859	62536444-62536581	62549902-62550115	Medulloblastoma
PDE6B	667856-667941	666530-666614	670045-670314	Medulloblastoma
SSR1	7295088-7295102	7287569-7289931	7295391-7295485	Medulloblastoma
PLEC	143937749-143937784	143937164-143937242	143938150-143938240	Medulloblastoma
MAPK9	180247663-180247728	180246544-180247510	180248972-180249138	Medulloblastoma
MRPL42	93470486-93470505	93469188-93469355	93476953-93477017	Medulloblastoma
FMNL2	152643419-152643544	152640790-152640914	152647795-152649823	Medulloblastoma
PTPRF	43602071-43602097	43598719-43598913	43603415-43603533	Medulloblastoma
ATP1B2	7654792-7654818	7654627-7654684	7655526-7655625	Medulloblastoma
PHETA1	111365564-111365651	111360650-111363463	111366112-111366257	Medulloblastoma
MYCBP2	77103209-77103310	77097369-77099013	77121372-77121495	Medulloblastoma
SGCE	94587778-94587884	94585223-94585515	94588688-94588732	Medulloblastoma
RIDA	98113638-98113825	98108645-98108751	98117031-98117114	Medulloblastoma
UNC13B	35300166-35308412	35295695-35295930	35310466-35310781	Medulloblastoma
SNAP23	42521614-42521708	42515236-42515354	42528261-42528343	Medulloblastoma
RAB33B-AS1	139415937-139416012	139413815-139414024	139453684-139454034	Medulloblastoma
OTX2-AS1	56927569-56927718	56898267-56898345	56928879-56929039	Medulloblastoma
SEPTIN2	241317499-241317599	241315288-241315610	241325992-241326051	Medulloblastoma
WARS1	100374136-100374149	100369086-100369258	100375282-100375475	Medulloblastoma
MAGI2-AS3	79455890-79456180	79453975-79454244	79458846-79458999	Medulloblastoma
PSMA3-AS1	58293066-58293138	58291634-58291707	58293765-58295811	Medulloblastoma
ZNF418	57932430-57932646	57930427-57930557	57933816-57933902	Medulloblastoma
RIMS2	104015424-104015456	104014505-104014615	104068511-104068612	Medulloblastoma
RIMS2	104094478-104094729	104093470-104093643	104148606-104148848	Medulloblastoma
PCBP1-AS1	70055714-70055910	70051016-70051305	70083506-70083687	Medulloblastoma
NUP62	49911105-49911370	49909736-49909884	49929325-49929475	Medulloblastoma
RGS7	240801455-240801508	240775514-240776213	240802903-240802993	Medulloblastoma
FAIM	138619711-138619770	138608770-138608937	138621406-138621539	Medulloblastoma
CADPS	62498146-62498154	62492289-62492446	62499161-62499268	Medulloblastoma
RNFT2	116748662-116748744	116741035-116741094	116749840-116750307	Medulloblastoma
SCN2A	165309165-165309256	165308665-165308794	165309351-165309443	Medulloblastoma
SYNJ1	32643410-32643457	32642094-32642133	32644967-32645006	Medulloblastoma
NRXN1	50466461-50466487	50465441-50465561	50472297-50472471	Medulloblastoma
NRBP1	27435723-27435746	27435132-27435227	27436752-27436836	Medulloblastoma
ADGRL3	62068166-62068183	62044452-62044549	62070108-62078335	Medulloblastoma
CLASP1	121444939-121444962	121430072-121430177	121447336-121447507	Medulloblastoma
RIT1	155904603-155904610	155904310-155904502	155904730-155904804	Medulloblastoma
SGCE	94587778-94587809	94585293-94585515	94588688-94588732	Medulloblastoma
ZNF431	21175453-21175474	21167570-21167666	21182622-21184092	Medulloblastoma
ARL6	97791953-97791965	97791770-97791826	97798023-97798170	Medulloblastoma
ENSG00000279249	49285483-49285623	49282036-49282232	49287366-49287475	Medulloblastoma
ENSG00000279249	49285521-49285623	49282036-49282232	49287366-49287475	Medulloblastoma
SGSH	80211869-80211923	80210396-80211011	80212070-80212218	Medulloblastoma
STAG3L3	73000358-73000481	72999760-72999859	73003020-73003137	Medulloblastoma
MCF2L	113090068-113090151	113089609-113089728	113091120-113091195	Medulloblastoma
ATP5MJ	103920940-103921208	103913960-103913984	103921469-103921501	Medulloblastoma
VPS26B	134236342-134236746	134234961-134235053	134239990-134240155	Medulloblastoma
ATP5MG	118403924-118403985	118401583-118401717	118405656-118405709	Medulloblastoma
ZNF84	133038875-133039012	133037529-133037554	133041277-133041482	Medulloblastoma
RAD51AP1	4545219-4545312	4543762-4543904	4545781-4545832	Medulloblastoma
UNC5D	35721455-35721469	35686544-35686709	35722209-35722395	Medulloblastoma
UNC5D	35721455-35721469	35705928-35705961	35722209-35722395	Medulloblastoma
ATP1B3	141916555-141916574	141915969-141916020	141921976-141922063	Medulloblastoma
ZNF441	11778116-11778179	11777610-11777737	11778329-11778393	Medulloblastoma
RELN	103473803-103473912	103471790-103472908	103478388-103478524	Medulloblastoma
NUP62	49911105-49911343	49909854-49909884	49929325-49929465	Medulloblastoma
ZNF320	52893779-52893927	52891228-52891346	52897647-52897686	Medulloblastoma
EML6	54953296-54953316	54952593-54952692	54953982-54954156	Medulloblastoma
ANKDD1A	64921921-64922019	64911901-64911964	64930821-64930920	Medulloblastoma
GRAMD1B	123578410-123578430	123577366-123577577	123584311-123584332	Medulloblastoma
ACIN1	23071125-23071186	23069475-23069617	23078150-23078266	Medulloblastoma
CLCC1	108962309-108962469	108950308-108950438	108963360-108963413	Medulloblastoma
MLLT10	21682225-21682257	21681331-21681376	21713771-21713950	Medulloblastoma
PIGA	15331216-15331299	15325913-15326046	15331873-15331992	Medulloblastoma
ANOS2P	13754640-13754789	13703901-13704435	13790918-13790966	Medulloblastoma
NQO2	3002050-3002286	2999973-3000085	3003668-3003789	Medulloblastoma
NQO2	3002050-3002286	2999973-3000085	3006467-3006559	Medulloblastoma
MIR7-3HG	4770085-4770221	4769577-4769757	4772163-4772517	Medulloblastoma
MRNIP	179853197-179853276	179841906-179842064	179853377-179853437	Medulloblastoma
CBY1	38656956-38657143	38656639-38656750	38670883-38670989	Medulloblastoma
LHX1-DT	36933204-36933396	36907287-36907539	36936563-36936652	Medulloblastoma
ESRRG	216681896-216682026	216677327-216677491	216707358-216707486	Medulloblastoma
POU2F1	167241407-167241610	167220875-167220958	167303473-167303574	Medulloblastoma
SAP30BP	75668049-75668169	75667250-75667478	75668515-75668625	Medulloblastoma
RPGRIP1	21324725-21325070	21321856-21322004	21327622-21327807	Medulloblastoma
N4BP2L2	32480590-32480637	32443064-32444126	32535768-32537027	Medulloblastoma
ROBO3	124877161-124877309	124876821-124876932	124877518-124877796	Medulloblastoma
ROBO3	124877285-124877309	124876841-124876932	124877518-124877658	Medulloblastoma
MTIF3	27449852-27449918	27445087-27445156	27450508-27450564	Medulloblastoma
GOLGB1	121719646-121719753	121718387-121718501	121722261-121722378	Medulloblastoma
LRRC37A2	46520212-46520283	46517361-46517433	46540175-46540247	Medulloblastoma
MYT1L	1887059-1887121	1886538-1886607	1887487-1887609	Medulloblastoma
MBNL2	97365136-97365171	97357481-97357635	97391321-97394119	Medulloblastoma
WAC	28595695-28596041	28590719-28590832	28608185-28608593	Medulloblastoma
SEC31A	82862534-82862572	82857688-82857764	82863317-82863392	Medulloblastoma
MCCC2	71636104-71636167	71635150-71635246	71641002-71641361	Medulloblastoma
CLCC1	108938166-108938216	108937076-108937418	108939635-108939782	Medulloblastoma
ZNF585B	37198939-37199054	37190023-37190150	37207039-37207254	Medulloblastoma
COMMD6	75527813-75527851	75526435-75526639	75530113-75530266	Medulloblastoma
SEC23B	18508091-18508297	18507543-18507669	18510821-18510991	Medulloblastoma
TEAD3	35480060-35480122	35479304-35479316	35480311-35480374	Medulloblastoma
MPPE1	11895185-11895277	11893467-11893576	11896983-11897044	Medulloblastoma
LYRM1	20911183-20911264	20900770-20900889	20915555-20915714	Medulloblastoma
MPP3	43832077-43832251	43831881-43831943	43832760-43832819	Medulloblastoma
CALM3	46605994-46606185	46605826-46605857	46608196-46608340	Medulloblastoma
ZGRF1	112603524-112603697	112589629-112589874	112606007-112606091	Medulloblastoma
CACNA2D2	50373065-50373085	50370319-50370380	50374736-50374813	Medulloblastoma
UNC80	209869105-209869234	209849450-209849623	209872757-209872874	Medulloblastoma
HFM1	91316391-91316476	91316100-91316184	91319077-91319209	Medulloblastoma
SNX14	85588863-85588950	85574257-85574378	85593578-85593895	Medulloblastoma
EWSR1	29274265-29274282	29273737-29273864	29278029-29278216	Medulloblastoma
EWSR1	29274268-29274282	29273737-29273864	29278029-29278216	Medulloblastoma
RIMS2	104041326-104041358	104014505-104014615	104068511-104068612	Medulloblastoma
CPEB4	173943026-173943049	173910522-173910604	173944966-173945140	Medulloblastoma
CKAP5	46760352-46760375	46759268-46759442	46760611-46760650	Medulloblastoma
PPP3CB	73448664-73448690	73446491-73446576	73454411-73454489	Medulloblastoma
ZNF43	21850938-21851162	21819094-21819221	21851904-21852028	Medulloblastoma
SORBS2	185638079-185638162	185630548-185630598	185646667-185646782	Medulloblastoma
ENSG00000267248	60132436-60132512	60126529-60126865	60134755-60134841	Medulloblastoma
TRIM66	8678134-8678169	8674805-8674883	8679619-8679814	Medulloblastoma
DLGAP4	36465265-36465367	36446696-36446937	36496704-36497066	Medulloblastoma
RCC1	28532674-28532757	28532170-28532350	28535049-28535146	Medulloblastoma
ARID4B	235213769-235214026	235196030-235196115	235219792-235219968	Medulloblastoma
ACTB	5529019-5529059	5528280-5528719	5529160-5529400	Medulloblastoma
AP3S1	115912089-115912136	115906820-115906861	115913361-115913457	Medulloblastoma
CLIP1	122276439-122276444	122274037-122274162	122278153-122278203	Medulloblastoma
PTK2	140669727-140669735	140668268-140668424	140674297-140674404	Medulloblastoma
PLA2G4C	48096699-48097127	48095463-48095604	48098138-48098237	Medulloblastoma
IMPDH1	128393722-128393738	128392276-128393028	128394277-128394361	Medulloblastoma
DENND2C	114645448-114645559	114625178-114626188	114669982-114670049	Medulloblastoma
CARM1	10908550-10908668	10908038-10908145	10909102-10909207	Medulloblastoma
PPM1K	88271000-88271189	88268761-88268906	88277142-88277243	Medulloblastoma
COL9A1	70254740-70254769	70254475-70254529	70254962-70255016	Medulloblastoma
CSNK1A1	149515669-149515726	149513069-149513209	149517793-149517877	Medulloblastoma
ATP6V1E1	17619034-17619127	17613210-17613320	17619460-17619526	Medulloblastoma
INPP5K	1515427-1515585	1513871-1513979	1516455-1516661	Medulloblastoma
TFG	100747361-100747454	100744832-100744931	100748148-100748964	Medulloblastoma
TTC8	88833693-88833722	88824650-88824821	88839451-88839572	Medulloblastoma
INPP5F	119825952-119826018	119823814-119823902	119826630-119829124	Medulloblastoma
RWDD1	116572422-116572478	116571562-116571655	116574057-116574171	Medulloblastoma
VCPKMT	50113370-50113512	50108631-50109713	50114284-50114404	Medulloblastoma
LGALS3BP	78976943-78977000	78975964-78976156	78977139-78977214	Medulloblastoma
ATP1B3	141916376-141916440	141915969-141916020	141921976-141922063	Medulloblastoma
MYL12A	3249562-3249723	3247872-3247909	3253232-3253284	Medulloblastoma
CACNA1B	138101104-138101200	138096483-138096611	138102710-138102807	Medulloblastoma
CASK	41522999-41523025	41520332-41520596	41523950-41524034	Medulloblastoma
INSYN1-AS1	73768753-73768860	73752316-73752396	73769469-73770489	Medulloblastoma
CADM1	115207302-115207307	115198405-115198438	115209573-115209657	Medulloblastoma
SRSF9	120464733-120464822	120463949-120464122	120465626-120465787	Medulloblastoma
ATP1B2	7655236-7655256	7654627-7654684	7655526-7655625	Medulloblastoma
WDR75	189448801-189448834	189448378-189448508	189450902-189450922	Medulloblastoma
AMN1	31714882-31714951	31701862-31702007	31728970-31729019	Medulloblastoma
RHNO1	2885283-2885492	2877198-2877282	2887910-2889271	Medulloblastoma
RMST	97491644-97491712	97465667-97465727	97492460-97492606	Medulloblastoma
CELF1	47471998-47472102	47468813-47468891	47472190-47472357	Medulloblastoma
PKM	72221168-72221284	72218943-72219110	72231323-72231624	Medulloblastoma
SAMD10	63978245-63978361	63977224-63977406	63979853-63979984	Medulloblastoma
ANOS2P	13753094-13753159	13703901-13704435	13754639-13754789	Medulloblastoma
PIKFYVE	208276712-208276830	208271510-208271691	208285725-208285933	Medulloblastoma
PBX3	125949378-125949440	125935471-125935607	125960683-125960849	Medulloblastoma
RBFOX1	6876662-6876743	6654602-6654650	7052056-7052098	Medulloblastoma
SHOX2	158105058-158105125	158102677-158102886	158105678-158105718	Medulloblastoma
PAX6	31803584-31803726	31802703-31802834	31805388-31805795	Medulloblastoma
VPS53	599945-600094	586269-586364	601794-601896	Medulloblastoma
KLRK1-AS1	10373041-10373137	10363874-10364033	10374034-10374136	Medulloblastoma
TVP23C-CDRT4	15503098-15503232	15440207-15440285	15545784-15545916	Medulloblastoma
ADK	74527760-74528093	74525255-74525426	74589281-74589317	Medulloblastoma
LIMS2	127673678-127673743	127657402-127657562	127675013-127675102	Medulloblastoma
CNTN4	2099274-2099649	2098865-2098978	2100557-2100639	Medulloblastoma
ZMYM6	35031267-35031337	35030546-35030713	35031630-35031690	Medulloblastoma
MRPL33	27782572-27782694	27772673-27772692	27894532-27894684	Medulloblastoma
CABIN1	24160330-24160406	24134301-24134415	24164399-24164489	Medulloblastoma
DNAI7	25190614-25190631	25161112-25161197	25195075-25195160	Medulloblastoma
AIFM3	20980747-20980767	20980019-20980124	20980991-20981358	Medulloblastoma
TBL1XR1	177091151-177091180	177064919-177065022	177098465-177098541	Medulloblastoma
PAQR3	78922829-78922983	78920533-78920681	78923856-78923947	Medulloblastoma
CAND2	12806389-12806496	12803487-12803631	12807305-12807460	Medulloblastoma
PRKCZ	2181832-2181914	2175223-2175313	2184582-2184698	Medulloblastoma
DNAJC13	132484363-132484493	132483374-132483577	132484587-132484672	Medulloblastoma
CSRNP2	51082521-51082694	51076410-51076647	51083338-51083583	Medulloblastoma
ENSG00000264956	22285005-22285128	22266424-22266668	22286277-22286398	Medulloblastoma
NSMCE1	27241353-27241484	27235177-27235299	27241798-27241889	Medulloblastoma
GGA1	37613024-37613191	37608844-37608903	37614189-37614274	Medulloblastoma
CD81	2386555-2386639	2377309-2377615	2390411-2390526	Medulloblastoma
ZNF195	3373577-3373656	3371576-3371703	3377616-3377802	Medulloblastoma
CSRNP2	51082521-51082694	51076410-51076647	51083228-51083643	Medulloblastoma
COASY	42562296-42562487	42562150-42562219	42562611-42562919	Medulloblastoma
C21orf58	46318785-46318961	46318011-46318220	46322638-46323869	Medulloblastoma
ENSG00000255468	66349335-66349470	66347949-66348070	66353454-66353619	Medulloblastoma
MYBPC1	101684382-101684424	101680342-101680529	101685581-101685615	Medulloblastoma
LINC02552	104572557-104572597	104569047-104569131	104609236-104609302	Medulloblastoma
KRIT1	92244902-92245134	92242033-92242137	92245464-92245595	Medulloblastoma
KRIT1	92244902-92245171	92242033-92242137	92245464-92245875	Medulloblastoma
ENSG00000285756	3822073-3822285	3818656-3818703	3822373-3822580	Medulloblastoma
BCLAF3	19918072-19918099	19916739-19917334	19929784-19929898	Medulloblastoma
ZNF221	43960187-43960356	43951244-43951400	43962724-43962807	Medulloblastoma
NUCB2	17286634-17286713	17282788-17282943	17291239-17291365	Medulloblastoma
NUCB2	17286634-17286717	17282788-17282943	17291239-17291365	Medulloblastoma
NEDD4	55991926-55992005	55966472-55966546	55993510-55993602	Medulloblastoma
RUNX1T1	92095028-92095171	92017225-92017363	92102856-92103286	Medulloblastoma
CXXC5	139665580-139665803	139648711-139648845	139680363-139680936	Medulloblastoma
JKAMP	59484990-59485116	59484442-59484593	59487673-59487828	Medulloblastoma
NSD2	1893730-1893909	1871433-1871542	1899220-1899395	Medulloblastoma
AHDC1	27558305-27558530	27553073-27553185	27558705-27558883	Medulloblastoma
TSC2	2077598-2077726	2076490-2076585	2079031-2079196	Medulloblastoma
CFAP298-TCP10L	32575377-32576923	32574575-32574676	32578693-32578831	Medulloblastoma
EPB41	29058589-29058645	29053103-29053312	29060421-29060484	Medulloblastoma
ENSG00000188002	1632644-1632744	1602690-1602735	1632844-1632906	Medulloblastoma
MFAP3	154049557-154050017	154038966-154039011	154097023-154097271	Medulloblastoma
HDHD2	47137235-47137296	47136301-47136449	47149048-47149108	Medulloblastoma
EPB41	29058811-29058852	29053103-29053312	29060421-29060484	Medulloblastoma
LINC00461	88675447-88676451	88672964-88673028	88684657-88684825	Medulloblastoma
SUZ12P1	30735033-30735097	30709607-30709811	30743300-30743369	Medulloblastoma
ASPHD1	29905788-29905959	29900857-29901920	29919530-29919632	Medulloblastoma
PDE1C	32051554-32051580	31880746-31880860	32169784-32169956	Medulloblastoma
KRBA2	8371600-8372081	8369104-8370386	8375899-8375979	Medulloblastoma
AGAP1	236014805-236014879	235968461-235968623	236036560-236036697	Medulloblastoma
RALB	120280835-120280907	120278617-120278778	120285873-120286082	Medulloblastoma
VTI1A	112533530-112533550	112527086-112527164	112538245-112538301	Medulloblastoma
ENSG00000229180	66545601-66545686	66531790-66531871	66554584-66554837	Medulloblastoma
GIT1	29578962-29578988	29578730-29578779	29581337-29581380	Medulloblastoma
ZNF780B	40055416-40055576	40050323-40050377	40056100-40056175	Medulloblastoma
ABL2	179133312-179133374	179131310-179131481	179142932-179143056	Medulloblastoma
ZNF611	52729906-52730005	52728729-52728831	52735000-52735011	Medulloblastoma
ZNF618	114028910-114028972	114016694-114016784	114032647-114032723	Medulloblastoma
CYFIP1	22916882-22917029	22916482-22916630	22917787-22917935	Medulloblastoma
TM7SF2	65115775-65115822	65115475-65115598	65115892-65115957	Medulloblastoma
DENND2B	8711904-8712036	8711121-8711231	8712550-8712735	Medulloblastoma
ANK3	60111734-60111766	60108829-60109054	60114224-60114331	Medulloblastoma
SNX5	17951021-17951327	17950290-17950396	17951499-17951595	Medulloblastoma
PTPRD	8526627-8526644	8524924-8525035	8528590-8528779	Medulloblastoma
TNS1	217830367-217830390	217821739-217821938	217831454-217831547	Medulloblastoma
SRGAP3	9028100-9028130	9026934-9026995	9032649-9032752	Medulloblastoma
CHRM3	239826853-239827081	239678185-239678288	239827251-239827378	Medulloblastoma
AMMECR1L	127870814-127870928	127866899-127866996	127873827-127874272	Medulloblastoma
MIR99AHG	16042984-16043056	16011464-16011740	16071113-16071398	Medulloblastoma
SENP6	75640687-75640704	75634706-75634811	75647730-75647801	Medulloblastoma
DYNC1I2	171712767-171712826	171706889-171707377	171715327-171715350	Medulloblastoma
PFKP	3125097-3125249	3119891-3120044	3129818-3129941	Medulloblastoma
KDM6B	7839906-7840024	7834216-7834350	7844900-7845020	Medulloblastoma
CLCN5	50088413-50088484	50086327-50086870	50088697-50088884	Medulloblastoma
EFCAB1	48734535-48734684	48730539-48730644	48735093-48735234	Medulloblastoma
OBSCN	228219324-228219599	228217012-228217288	228243182-228243458	Medulloblastoma
HFM1	91394093-91394402	91385574-91385834	91401011-91401109	Medulloblastoma
PSMA3-AS1	58288718-58288813	58285731-58285756	58291634-58291707	Medulloblastoma
TIRAP	126291425-126291569	126290802-126290961	126292476-126292687	Medulloblastoma
DNHD1	6548645-6548933	6548209-6548402	6556682-6558297	Medulloblastoma
ACER3	77011330-77011375	76998762-76998821	77015015-77015117	Medulloblastoma
ZC3H14	88567858-88567916	88563650-88563693	88568038-88568153	Medulloblastoma
RIMS2	104015424-104015456	104014505-104014615	104244915-104245057	Medulloblastoma
PITX1-AS1	135333758-135334161	135174041-135174172	135337930-135338013	Medulloblastoma
MICU2	21515534-21515560	21514352-21514418	21521244-21521327	Medulloblastoma
SREBF2	41899237-41899553	41898648-41898781	41900329-41900498	Medulloblastoma
HNRNPA2B1	26185199-26185279	26173570-26174782	26192494-26192577	Medulloblastoma
MDGA1	37641737-37642049	37638536-37638667	37643808-37643943	Medulloblastoma
GOSR2	46964344-46965039	46938598-46938704	46966533-46966783	Medulloblastoma
MAPK8IP3	1740695-1740718	1729486-1729578	1743334-1743476	Medulloblastoma
OTX2-AS1	56919641-56919692	56813290-56813469	56927568-56927718	Medulloblastoma
UIMC1	176969053-176969291	176958092-176958154	176969600-176969706	Medulloblastoma
DSC2	31091531-31091567	31091027-31091147	31092100-31092300	Medulloblastoma
DYDC2	80357893-80358045	80356780-80356825	80362434-80362590	Medulloblastoma
SPG21	64988619-64988816	64983506-64983593	64989405-64989496	Medulloblastoma
GBAP1	155217519-155217593	155217239-155217373	155217963-155218049	Medulloblastoma
ENSG00000177359	31112112-31112288	31111651-31111809	31112980-31113083	Medulloblastoma
CLCC1	108962309-108962464	108950308-108950438	108963360-108963450	Medulloblastoma
ANKRD49	94497902-94497964	94496603-94496951	94498070-94498214	Medulloblastoma
FKBP7	178473029-178473142	178463829-178465931	178477061-178477213	Medulloblastoma
FAM189B	155253859-155253978	155252748-155253732	155254652-155254968	Medulloblastoma
USP32P3	20420379-20420605	20416491-20416691	20424591-20424704	Medulloblastoma
PDSS1	26740645-26740817	26735465-26735579	26742496-26742577	Medulloblastoma
FBH1	5891019-5891116	5890279-5890346	5903019-5903175	Medulloblastoma
THSD7B	136906448-136906566	136882143-136882317	137056419-137056515	Medulloblastoma
SNCAIP	122452925-122452995	122450532-122451601	122463490-122464075	Medulloblastoma
CSDE1	114756777-114756888	114749820-114750207	114757924-114757999	Medulloblastoma
ENSG00000227733	148226101-148226253	148216936-148217130	148226493-148226621	Medulloblastoma
ADGRL3	62068166-62068217	62044452-62044549	62070108-62070993	Medulloblastoma
NLGN3	71148846-71148905	71147549-71148206	71155213-71155363	Medulloblastoma
MMD2	4909729-4909778	4905988-4907599	4909880-4909950	Medulloblastoma
PTPRF	43583082-43583093	43578809-43578920	43588730-43589000	Medulloblastoma
UBXN11	26303043-26303167	26302812-26302918	26306591-26306636	Medulloblastoma
GTF2F2	45220866-45220909	45207423-45207505	45252870-45252970	Medulloblastoma
ZNF266	9434075-9434235	9420064-9420218	9435107-9435193	Medulloblastoma
REEP6	1496591-1496671	1496284-1496453	1497173-1497322	Medulloblastoma
DYNC2LI1	43781628-43781764	43776781-43776899	43783519-43783554	Medulloblastoma
L2HGDH	50311291-50311433	50302901-50303017	50312010-50312147	Medulloblastoma
GNB3	6841773-6841903	6841585-6841624	6842969-6843076	Medulloblastoma
PTPRK	128003197-128003232	127998719-127998904	128005083-128005244	Medulloblastoma
CCSER2	84507294-84507333	84477574-84477664	84513448-84513702	Medulloblastoma
RCBTB2	48521898-48521962	48515585-48515741	48533027-48533080	Medulloblastoma
LARP7	112637644-112637787	112637125-112637239	112644667-112644871	Medulloblastoma
SNHG14	25077219-25077316	25076856-25076990	25078861-25078995	Medulloblastoma
RNF146	127285208-127285348	127280230-127280340	127286615-127288362	Medulloblastoma
CRACD	56301226-56301247	56298213-56298349	56307534-56307699	Medulloblastoma
SUSD4	223296727-223296890	223292438-223292651	223363277-223363460	Medulloblastoma
MAK	10773034-10773108	10770110-10770230	10775327-10775459	Medulloblastoma
ATP6V1B2	20203959-20204083	20197423-20197542	20204483-20204539	Medulloblastoma
WWP1	86440626-86440733	86438584-86438673	86442618-86442778	Medulloblastoma
PLCE1	94282794-94282940	94279781-94279911	94283789-94283911	Medulloblastoma
EPRS1	220018126-220018146	220010945-220011056	220018448-220018508	Medulloblastoma
KIF1B	10355370-10355396	10352663-10352736	10360928-10361043	Medulloblastoma
STIM1	4088702-4088738	4086476-4086543	4091281-4091798	Medulloblastoma
CC2D2A	15576604-15576624	15574149-15574326	15579967-15580171	Medulloblastoma
XKR9	70683513-70683630	70680780-70681330	70706932-70707153	Medulloblastoma
SLC6A15	84867893-84868072	84867033-84867193	84870477-84870670	Medulloblastoma
ANAPC10	144999257-144999294	144995160-144995603	145081659-145081750	Medulloblastoma
PPP3CB	73448664-73448690	73446491-73446573	73454411-73454489	Medulloblastoma
KIF22	29792466-29792514	29790726-29790829	29796892-29797088	Medulloblastoma
CCSER1	91283809-91283854	91085949-91085994	91598571-91601913	Medulloblastoma
LEMD1	205416232-205416296	205384287-205384364	205419229-205419352	Medulloblastoma
ENSG00000278254	9124399-9124493	9082556-9084548	9189559-9189857	Medulloblastoma
ESRRG	216714516-216714634	216707419-216707486	216723243-216723416	Medulloblastoma
LINC00461	88675447-88676451	88672964-88673090	88684657-88684825	Medulloblastoma
ENSG00000229180	66578529-66578727	66576754-66576932	66592256-66592397	Medulloblastoma
SNAP25	10243975-10244034	10219158-10219213	10275428-10275563	Medulloblastoma
KLF3-AS1	38620072-38620162	38614624-38614708	38624421-38624579	Medulloblastoma
SPIN3	56978292-56978421	56975140-56977196	56978579-56978654	Medulloblastoma
CD59	33711384-33711505	33709438-33710343	33717369-33717471	Medulloblastoma
HADH	108004546-108004917	107990015-107990064	108009758-108009887	Medulloblastoma
HADH	108004664-108004917	107989854-107990064	108009758-108009887	Medulloblastoma
CCNL2	1392679-1392803	1390765-1390865	1393395-1393460	Medulloblastoma
IFI44	78650186-78650652	78649830-78649905	78654242-78654279	Medulloblastoma
MYO1B	191400749-191400835	191400381-191400468	191408114-191408189	Medulloblastoma
NFIB	14102422-14102510	14081842-14088326	14112998-14113081	Medulloblastoma
HADH	108027939-108028069	108026063-108027760	108033175-108033292	Medulloblastoma
BICD1	32338786-32338979	32337498-32337706	32377539-32377923	Medulloblastoma
